Day,Loco1,Loco2,Loco3,Loco4,From,To,Headcode,Train,TrainStartDay,Mileage
Monday,31326,,,,Ely,Ipswich,1P11,2320 Peterborough - Ipswich (Liv St),Sunday,50.76
Monday,03179,,,,Ipswich,Ipswich,1P11,2320 Peterborough - Ipswich,Sunday,0.50
Monday,47549,,,,Ipswich,London Liverpool St,1N49,2345 Norwich - Liverpool St,Sunday,68.74
Monday,Walk,,,,London Liverpool St,London Fenchurch Street,,,,
Monday,302 EMU,,,,London Fenchurch Street,Shoeburyness,2112,0515 Fenchurch St - Shoeburyness,Monday,39.46
Monday,47351,,,,Shoeburyness,Tottenham Hale,1Z21,0701 Shoeburyness - Skegness ADEX,Monday,40.64
Monday,305 EMU,,,,Tottenham Hale,London Liverpool St,1S55,0756 Bishops Stortford - Liverpool St,Monday,6.00
Monday,47549,,,,London Liverpool St,Colchester,1N20,0930 Liverpool St - Norwich,Monday,51.65
Monday,47576,,,,Colchester,London Liverpool St,1K23,0900 Yarmouth - Liverpool St,Monday,51.65
Monday,37089,,,,London Liverpool St,Harlow Town,2L82,1205 Liverpool St - Cambridge,Monday,22.69
Monday,305 EMU,,,,Harlow Town,London Liverpool St,2O73,1234 Bishops Stortford - Liverpool St,Monday,23.18
Monday,Tube,,,,London Liverpool St,London Euston,,,,
Monday,Tube,,,,London Euston,London Liverpool St,,,,
Monday,31185,,,,London Liverpool St,King's Lynn,1L26,1636 Liverpool St - King's Lynn,Monday,96.89
Monday,Taxi,,,,King's Lynn,Ely,,,,
Monday,47351,,,,Ely,Barking,1Z22,1705 Skegness - Shoeburyness rtn ADEX,Monday,73.05
Monday,302 EMU,,,,Barking,London Fenchurch Street,2486,2110 Pitsea - Fenchurch St,Monday,7.55
Monday,Tube,,,,London Fenchurch Street,London Kings Cross,,,,
Monday,31407,31253,,,London Kings Cross,Peterborough,1L22,2300 Kings Cross - Bradford Exch,Monday,76.36
Tuesday,31268,31319,,,Peterborough,London Kings Cross,1A41,2123 Bradford Exch - Kings Cross,Monday,76.36
Tuesday,Taxi,,,,London Kings Cross,London Victoria,,,,
Tuesday,73116,,,,London Victoria,Faversham,1S02,0300 Victoria - Ramsgate,Tuesday,51.96
Tuesday,73139,,,,Faversham,Dover Priory,1K00,0450 Faversham - Dover W. Docks,Tuesday,25.33
Tuesday,SR EMU,,,,Dover Priory,Tonbridge,2W12,0523 Ramsgate - Charing Cross,Tuesday,47.76
Tuesday,SR EMU,,,,Tonbridge,London Bridge,2W10,0500 Ramsgate - Charing Cross,Tuesday,27.65
Tuesday,SR EMU,,,,London Bridge,South Croydon,2D09,0755 London Bridge - Coulsdon North via Crystal Palace,Tuesday,12.70
Tuesday,33056,,,,South Croydon,East Croydon,2U39,0801 East Grinstead - London Bridge,Tuesday,0.91
Tuesday,33065,,,,East Croydon,London Bridge,2U45,0825 East Grinstead - London Bridge,Tuesday,10.53
Tuesday,Tube,,,,London Bridge,London Euston,,,,
Tuesday,87011,,,,London Euston,Coventry,1S59,0935 Euston - Inverness,Tuesday,93.99
Tuesday,86314,,,,Coventry,London Euston,1A31,0940 Shrewsbury - Euston,Tuesday,93.99
Tuesday,Walk,,,,London Euston,London Kings Cross,,,,
Tuesday,47411,,,,London Kings Cross,Peterborough,1D03,1305 Kings Cross - Cleethorpes,Tuesday,76.36
