Day,Loco1,Loco2,Loco3,Loco4,From,To,Headcode,Train,TrainStartDay,Mileage
Monday,81013,,,,Crewe,Carlisle,1S19,2112 Bristol TM - Glasgow Central,Sunday,140.86
Monday,47469,,,,Carlisle,Annan,1S18,2215 Euston - Glasgow Central,Sunday,17.73
Monday,47442,,,,Annan,Dumfries,1S90,0610 Carlisle - Glasgow Central,Monday,15.36
Monday,47480,,,,Dumfries,Carlisle,1M70,0655 Glasgow Central - Nottingham,Monday,33.09
Monday,87026,,,,Carlisle,London Euston,1M59,0805 Glasgow Central - Euston,Monday,298.86
Monday,Walk,,,,London Euston,London Kings Cross,,,,
Monday,55008,,,,London Kings Cross,Grantham,1L43,1403 Kings Cross - York,Monday,105.46
Monday,120 DMU,,,,Grantham,Skegness,2E78,1410 Derby - Skegness,Monday,55.64
Monday,31276,,,,Skegness,Boston,1J27,1726 Skegness - Sheffield,Monday,23.61
Monday,20045,20160,,,Boston,Nottingham,1M07,1820 Skegness - Nottingham,Monday,50.78
Monday,31155,31281,,,Nottingham,Beeston,1M47,1840 Skegness - Burton,Monday,3.31
Monday,20006,20136,,,Beeston,Leicester,1M22,1853 Skegness - Leicester,Monday,24.19
Monday,31236,,,,Leicester,Birmingham New St,1M76,1834 Norwich - Birmingham NS,Monday,39.85
Monday,86210,,,,Birmingham New St,Wolverhampton,1G47,2140 Euston - Wolverhampton,Monday,12.88
Tuesday,86230,,,,Wolverhampton,Crewe,1S19,2126 Bristol TM - Glasgow Central,Monday,40.64
Tuesday,83010,,,,Crewe,Mossend Yard,1S25,2240 Euston - Perth,Monday,232.78
Tuesday,47210,,,,Mossend Yard,Dunblane,1S25,2240 Euston - Perth,Monday,31.33
Tuesday,40160,,,,Dunblane,Haymarket,1G23,0703 Perth - Edinburgh,Tuesday,40.18
Tuesday,47710,,,,Haymarket,Glasgow Queen St,1O12,0830 Edinburgh - Glasgow Qn St,Tuesday,46.04
Tuesday,Walk,,,,Glasgow Queen St,Glasgow Central,,,,
Tuesday,126 DMU,,,,Glasgow Central,Paisley Gilmour St,2A19,0935 Glasgow Central - Ayr,Tuesday,7.18
Tuesday,ScR EMU,,,,Paisley Gilmour St,Glasgow Central,2G26,0945 Gourock - Glasgow Central,Tuesday,7.18
Tuesday,85007,,,,Glasgow Central,Preston,1M28,1045 Glasgow Central - Manchester Vic.,Tuesday,192.39
Tuesday,40093,,,,Preston,Bolton,1M28,1045 Glasgow Central - Manchester Vic.,Tuesday,20.20
Tuesday,104 DMU,,,,Bolton,Preston,2P64,1415 Manchester Vic. - Blackpool N.,Tuesday,20.20
Tuesday,85038,,,,Preston,Crewe,1K32,1410 Barrow - Crewe,Tuesday,51.01
Tuesday,47432,,,,Crewe,Chester,1D63,1725 Crewe - Holyhead,Tuesday,21.14
Tuesday,40028,,,,Chester,Warrington Bank Quay,1J39,1652 Bangor - Manchester Vic.,Tuesday,18.06
Tuesday,87010,,,,Warrington Bank Quay,Preston,1S87,1800 Birmingham NS - Glasgow Central,Tuesday,26.88
Tuesday,87026,,,,Preston,Crewe,1M52,1730 Glasgow Central - Euston,Tuesday,50.78
